Year,EventName,DriverNumber,Abbreviation,TeamName,GridPos,QualiPos,FinishPos,DidFinish,Top3,Top5,Top10,EventDate,career_race_count,is_rookie,drv_avg_finish_w,drv_avg_quali_w,drv_top10_rate_w,drv_dnf_rate_w,team_avg_finish_w,team_avg_quali_w,team_top10_rate_w,team_dnf_rate_w
2018,Australian Grand Prix,5,VET,Ferrari,3.0,3.0,1.0,1,1,1,1,2018-03-25,0,1,10.442597478745235,10.431010928961749,0.5051304602755791,0.42644874425877066,10.46767559177338,10.466084656084657,0.5013969732246799,0.4282353511835468
2018,Australian Grand Prix,44,HAM,Mercedes,1.0,1.0,2.0,1,1,1,1,2018-03-25,0,1,10.442597478745235,10.431010928961749,0.5051304602755791,0.42644874425877066,10.46767559177338,10.466084656084657,0.5013969732246799,0.4282353511835468
2018,Australian Grand Prix,7,RAI,Ferrari,2.0,2.0,3.0,1,1,1,1,2018-03-25,0,1,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0
2018,Australian Grand Prix,3,RIC,Red Bull Racing,8.0,5.0,4.0,1,0,1,1,2018-03-25,0,1,10.442597478745235,10.431010928961749,0.5051304602755791,0.42644874425877066,10.46767559177338,10.466084656084657,0.5013969732246799,0.4282353511835468
2018,Australian Grand Prix,14,ALO,McLaren,10.0,11.0,5.0,1,0,1,1,2018-03-25,0,1,10.442597478745235,10.431010928961749,0.5051304602755791,0.42644874425877066,10.46767559177338,10.466084656084657,0.5013969732246799,0.4282353511835468
2018,Australian Grand Prix,33,VER,Red Bull Racing,4.0,4.0,6.0,1,0,0,1,2018-03-25,0,1,4.0,5.0,1.0,0.0,4.0,5.0,1.0,0.0
2018,Australian Grand Prix,27,HUL,Renault,7.0,8.0,7.0,1,0,0,1,2018-03-25,0,1,10.442597478745235,10.431010928961749,0.5051304602755791,0.42644874425877066,10.46767559177338,10.466084656084657,0.5013969732246799,0.4282353511835468
2018,Australian Grand Prix,77,BOT,Mercedes,15.0,10.0,8.0,1,0,0,1,2018-03-25,0,1,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0
2018,Australian Grand Prix,2,VAN,McLaren,11.0,12.0,9.0,1,0,0,1,2018-03-25,0,1,5.0,11.0,1.0,0.0,5.0,11.0,1.0,0.0
2018,Australian Grand Prix,55,SAI,Renault,9.0,9.0,10.0,1,0,0,1,2018-03-25,0,1,7.0,8.0,1.0,0.0,7.0,8.0,1.0,0.0
2018,Australian Grand Prix,11,PER,Force India,12.0,13.0,11.0,1,0,0,0,2018-03-25,0,1,10.442597478745235,10.431010928961749,0.5051304602755791,0.42644874425877066,10.46767559177338,10.466084656084657,0.5013969732246799,0.4282353511835468
2018,Australian Grand Prix,31,OCO,Force India,14.0,15.0,12.0,1,0,0,0,2018-03-25,0,1,11.0,13.0,0.0,0.0,11.0,13.0,0.0,0.0
2018,Australian Grand Prix,16,LEC,Sauber,18.0,18.0,13.0,1,0,0,0,2018-03-25,0,1,10.442597478745235,10.431010928961749,0.5051304602755791,0.42644874425877066,10.46767559177338,10.466084656084657,0.5013969732246799,0.4282353511835468
