Year,EventName,DriverNumber,Abbreviation,TeamName,GridPos,QualiPos,FinishPos,DidFinish,Top3,Top5,Top10,EventDate
2022,Pre-Season Track Session,55,SAI,Ferrari,1.0,1,1.0,1,1,1,1,2022-02-25
2022,Pre-Season Track Session,11,PER,Red Bull Racing,4.0,4,2.0,1,1,1,1,2022-02-25
2022,Pre-Season Track Session,44,HAM,Mercedes,5.0,5,3.0,1,1,1,1,2022-02-25
2022,Pre-Season Track Session,16,LEC,Ferrari,3.0,3,4.0,1,0,1,1,2022-02-25
2022,Pre-Season Track Session,14,ALO,Alpine,7.0,7,5.0,1,0,1,1,2022-02-25
2022,Pre-Season Track Session,4,NOR,McLaren,6.0,6,6.0,1,0,0,1,2022-02-25
2022,Pre-Season Track Session,1,VER,Red Bull Racing,2.0,2,7.0,1,0,0,1,2022-02-25
2022,Pre-Season Track Session,47,MSC,Haas F1 Team,19.0,19,8.0,1,0,0,1,2022-02-25
2022,Pre-Season Track Session,5,VET,Aston Martin,18.0,18,9.0,1,0,0,1,2022-02-25
2022,Pre-Season Track Session,20,MAG,Haas F1 Team,17.0,17,10.0,1,0,0,1,2022-02-25
2022,Pre-Season Track Session,18,STR,Aston Martin,20.0,20,11.0,1,0,0,0,2022-02-25
2022,Pre-Season Track Session,6,LAT,Williams,10.0,10,12.0,1,0,0,0,2022-02-25
2022,Pre-Season Track Session,3,RIC,McLaren,14.0,14,13.0,1,0,0,0,2022-02-25
2022,Pre-Season Track Session,22,TSU,AlphaTauri,13.0,13,14.0,1,0,0,0,2022-02-25
2022,Pre-Season Track Session,31,OCO,Alpine,15.0,15,15.0,0,0,0,0,2022-02-25
2022,Pre-Season Track Session,10,GAS,AlphaTauri,11.0,11,16.0,0,0,0,0,2022-02-25
2022,Pre-Season Track Session,77,BOT,Alfa Romeo,12.0,12,17.0,0,0,0,0,2022-02-25
2022,Pre-Season Track Session,63,RUS,Mercedes,8.0,8,18.0,0,0,0,0,2022-02-25
2022,Pre-Season Track Session,24,ZHO,Alfa Romeo,9.0,9,19.0,0,0,0,0,2022-02-25
2022,Pre-Season Track Session,23,ALB,Williams,16.0,16,20.0,0,0,0,0,2022-02-25
2022,Pre-Season Test,1,VER,Red Bull Racing,2.0,3,1.0,1,1,1,1,2022-03-12
2022,Pre-Season Test,44,HAM,Mercedes,3.0,5,2.0,1,1,1,1,2022-03-12
2022,Pre-Season Test,16,LEC,Ferrari,12.0,2,3.0,1,1,1,1,2022-03-12
2022,Pre-Season Test,11,PER,Red Bull Racing,9.0,4,4.0,1,0,1,1,2022-03-12
2022,Pre-Season Test,63,RUS,Mercedes,4.0,6,5.0,1,0,1,1,2022-03-12
2022,Pre-Season Test,4,NOR,McLaren,6.0,8,6.0,1,0,0,1,2022-03-12
2022,Pre-Season Test,14,ALO,Alpine,14.0,9,7.0,1,0,0,1,2022-03-12
2022,Pre-Season Test,5,VET,Aston Martin,10.0,12,8.0,1,0,0,1,2022-03-12
2022,Pre-Season Test,20,MAG,Haas F1 Team,13.0,16,9.0,1,0,0,1,2022-03-12
2022,Pre-Season Test,22,TSU,AlphaTauri,19.0,15,10.0,1,0,0,1,2022-03-12
2022,Pre-Season Test,31,OCO,Alpine,0.0,18,11.0,1,0,0,0,2022-03-12
2022,Pre-Season Test,24,ZHO,Alfa Romeo,18.0,14,12.0,1,0,0,0,2022-03-12
2022,Pre-Season Test,23,ALB,Williams,8.0,11,13.0,1,0,0,0,2022-03-12
2022,Pre-Season Test,10,GAS,AlphaTauri,11.0,13,14.0,1,0,0,0,2022-03-12
2022,Pre-Season Test,47,MSC,Haas F1 Team,16.0,19,15.0,1,0,0,0,2022-03-12
2022,Pre-Season Test,3,RIC,McLaren,15.0,17,16.0,1,0,0,0,2022-03-12
2022,Pre-Season Test,6,LAT,Williams,17.0,20,17.0,1,0,0,0,2022-03-12
2022,Pre-Season Test,18,STR,Aston Martin,5.0,7,18.0,0,0,0,0,2022-03-12
2022,Pre-Season Test,77,BOT,Alfa Romeo,7.0,10,19.0,0,0,0,0,2022-03-12
2022,Pre-Season Test,55,SAI,Ferrari,1.0,1,20.0,0,0,0,0,2022-03-12
2022,Bahrain Grand Prix,16,LEC,Ferrari,1.0,1,1.0,1,1,1,1,2022-03-20
2022,Bahrain Grand Prix,55,SAI,Ferrari,3.0,3,2.0,1,1,1,1,2022-03-20
2022,Bahrain Grand Prix,44,HAM,Mercedes,5.0,5,3.0,1,1,1,1,2022-03-20
2022,Bahrain Grand Prix,63,RUS,Mercedes,9.0,9,4.0,1,0,1,1,2022-03-20
