season,date,location,nolaps,tracklength,driver_id,driver_code,driver_name,lap,position,lap_time_s,race_time_s,compound,tireage,is_pit,pitstopduration,nextcompound,gridposition,resultposition,race_id
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,1,9,92.337,92.337,A6,3,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,2,9,86.843,179.18,A6,4,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,3,11,89.103,268.283,A6,5,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,4,11,86.238,354.521,A6,6,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,5,11,86.252,440.773,A6,7,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,6,9,88.691,529.464,A6,8,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,7,9,86.249,615.713,A6,9,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,8,8,86.492,702.205,A6,10,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,9,8,86.011,788.216,A6,11,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,10,8,85.555,873.771,A6,12,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,11,8,85.724,959.495,A6,13,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,12,8,85.387,1044.882,A6,14,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,13,8,85.6,1130.482,A6,15,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,14,8,85.846,1216.328,A6,16,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,15,7,85.212,1301.54,A6,17,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,16,7,85.594,1387.134,A6,18,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,17,7,85.625,1472.759,A6,19,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,18,7,85.958,1558.717,A6,20,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,19,7,85.528,1644.245,A6,21,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,20,7,85.761,1730.006,A6,22,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,21,7,85.977,1815.983,A6,23,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,22,7,85.978,1901.961,A6,24,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,23,7,86.101,1988.062,A6,25,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,24,7,85.886,2073.948,A6,26,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,25,7,86.278,2160.226,A6,27,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,26,7,90.275,2250.501,A6,28,True,29.83,A4,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,27,12,110.751,2361.252,A4,1,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,28,10,102.644,2463.896,A4,2,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,29,8,85.364,2549.26,A4,3,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,30,7,103.888,2653.148,A4,4,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,31,7,89.542,2742.69,A4,5,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,32,7,84.714,2827.404,A4,6,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,33,6,84.411,2911.815,A4,7,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,34,6,84.396,2996.211,A4,8,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,35,6,83.948,3080.159,A4,9,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,36,6,83.969,3164.128,A4,10,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,37,6,83.861,3247.989,A4,11,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,38,6,83.77,3331.759,A4,12,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,39,6,83.867,3415.626,A4,13,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,40,6,83.61,3499.236,A4,14,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,41,6,83.596,3582.832,A4,15,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,42,6,83.672,3666.504,A4,16,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,43,6,83.52,3750.024,A4,17,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,44,6,83.435,3833.459,A4,18,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,45,6,83.364,3916.823,A4,19,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,46,6,83.39,4000.213,A4,20,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,47,6,83.466,4083.679,A4,21,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,48,6,83.804,4167.483,A4,22,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,49,6,83.756,4251.239,A4,23,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,50,6,83.803,4335.042,A4,24,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,51,6,83.6,4418.642,A4,25,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,52,6,83.654,4502.296,A4,26,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,43,ALB,Alexander Albon,53,6,83.684,4585.98,A4,27,False,,,8,6,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,1,3,88.001,88.001,A6,3,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,2,3,85.586,173.587,A6,4,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,3,3,85.135,258.722,A6,5,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,4,3,85.158,343.88,A6,6,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,5,3,85.315,429.195,A6,7,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,6,3,84.999,514.194,A6,8,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,7,3,85.063,599.257,A6,9,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,8,3,85.21,684.467,A6,10,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,9,3,84.941,769.408,A6,11,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,10,3,84.642,854.05,A6,12,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,11,3,84.818,938.868,A6,13,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,12,3,84.973,1023.841,A6,14,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,13,3,84.971,1108.812,A6,15,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,14,3,85.193,1194.005,A6,16,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,15,3,85.284,1279.289,A6,17,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,16,3,85.069,1364.358,A6,18,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,17,3,84.673,1449.031,A6,19,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,18,3,84.915,1533.946,A6,20,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,19,2,84.989,1618.935,A6,21,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,20,1,85.014,1703.949,A6,22,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,21,1,85.128,1789.077,A6,23,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,22,1,84.929,1874.006,A6,24,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,23,1,84.847,1958.853,A6,25,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,24,1,84.97,2043.823,A6,26,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,25,1,85.115,2128.938,A6,27,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,26,1,85.199,2214.137,A6,28,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,27,1,89.671,2303.808,A6,29,True,23.7,A4,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,28,4,103.415,2407.223,A4,1,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,29,4,98.335,2505.558,A4,2,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,30,3,82.896,2588.454,A4,3,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,31,3,106.262,2694.716,A4,4,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,32,3,84.019,2778.735,A4,5,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,33,3,83.537,2862.272,A4,6,False,,,3,2,114
2019,2019-09-08,Monza,53,5793.0,15,BOT,Valtteri Bottas,34,3,83.651,2945.923,A4,7,False,,,3,2,114
