season,date,location,nolaps,tracklength,driver_code,driver_name,lap,position,lap_time_s,race_time_s,compound,tireage,is_pit,pitstopduration,nextcompound,gridposition,resultposition,race_id
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,1,11,113.969,113.969,A5,1,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,2,11,107.148,221.117,A5,2,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,3,11,105.895,327.012,A5,3,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,4,11,105.576,432.588,A5,4,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,5,11,105.504,538.092,A5,5,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,6,11,105.598,643.69,A5,6,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,7,11,105.636,749.326,A5,7,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,8,11,105.197,854.523,A5,8,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,9,11,105.193,959.716,A5,9,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,10,11,104.984,1064.7,A5,10,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,11,11,104.943,1169.643,A5,11,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,12,11,104.864,1274.507,A5,12,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,13,11,105.061,1379.568,A5,13,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,14,11,105.317,1484.885,A5,14,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,15,11,105.329,1590.214,A5,15,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,16,11,105.474,1695.688,A5,16,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,17,10,105.268,1800.956,A5,17,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,18,9,105.178,1906.134,A5,18,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,19,9,104.982,2011.116,A5,19,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,20,9,105.037,2116.153,A5,20,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,21,9,106.907,2223.06,A5,21,True,22.541,A4,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,22,12,123.859,2346.919,A4,1,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,23,11,103.913,2450.832,A4,2,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,24,11,104.379,2555.211,A4,3,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,25,11,104.324,2659.535,A4,4,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,26,11,103.858,2763.393,A4,5,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,27,11,103.712,2867.105,A4,6,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,28,11,104.133,2971.238,A4,7,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,29,11,103.916,3075.154,A4,8,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,30,11,103.596,3178.75,A4,9,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,31,11,103.52,3282.27,A4,10,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,32,10,104.237,3386.507,A4,11,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,33,9,104.207,3490.714,A4,12,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,34,9,103.979,3594.693,A4,13,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,35,9,103.732,3698.425,A4,14,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,36,9,103.709,3802.134,A4,15,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,37,9,103.583,3905.717,A4,16,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,38,9,104.026,4009.743,A4,17,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,39,9,103.105,4112.848,A4,18,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,40,9,103.338,4216.186,A4,19,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,41,9,103.742,4319.928,A4,20,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,42,9,103.465,4423.393,A4,21,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,43,9,102.88,4526.273,A4,22,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,44,9,102.337,4628.61,A4,23,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,45,9,102.203,4730.813,A4,24,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,46,9,104.502,4835.315,A4,25,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,47,9,103.952,4939.267,A4,26,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,48,9,106.499,5045.766,A4,27,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,49,9,104.23,5149.996,A4,28,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,50,9,103.559,5253.555,A4,29,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,51,9,102.554,5356.109,A4,30,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,52,9,103.623,5459.732,A4,31,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,53,9,104.353,5564.085,A4,32,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,ALO,Fernando Alonso,54,9,101.669,5665.754,A4,33,False,,,11,9,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,1,1,105.087,105.087,A5,3,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,2,1,103.166,208.253,A5,4,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,3,1,103.353,311.606,A5,5,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,4,1,103.36,414.966,A5,6,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,5,1,103.011,517.977,A5,7,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,6,1,102.826,620.803,A5,8,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,7,1,102.825,723.628,A5,9,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,8,1,102.861,826.489,A5,10,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,9,1,102.988,929.477,A5,11,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,10,1,102.77,1032.247,A5,12,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,11,1,102.522,1134.769,A5,13,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,12,1,102.634,1237.403,A5,14,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,13,1,102.947,1340.35,A5,15,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,14,1,102.706,1443.056,A5,16,False,,,1,1,79
2017,2017-11-26,YasMarina,55,5554.0,BOT,Valtteri Bottas,15,1,102.822,1545.878,A5,17,False,,,1,1,79
