season,date,location,nolaps,tracklength,driver_id,driver_code,driver_name,lap,position,lap_time_s,race_time_s,compound,tireage,is_pit,pitstopduration,nextcompound,gridposition,resultposition,race_id
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,1,5,109.439,109.439,A6,3,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,2,5,104.511,213.95,A6,4,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,3,5,103.826,317.776,A6,5,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,4,5,103.881,421.657,A6,6,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,5,5,104.11,525.767,A6,7,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,6,5,104.042,629.809,A6,8,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,7,5,104.604,734.413,A6,9,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,8,5,103.942,838.355,A6,10,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,9,5,104.231,942.586,A6,11,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,10,5,104.308,1046.894,A6,12,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,11,5,104.184,1151.078,A6,13,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,12,5,103.989,1255.067,A6,14,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,13,3,105.896,1360.963,A6,15,True,22.028,A4,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,14,7,123.857,1484.82,A4,1,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,15,7,103.891,1588.711,A4,2,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,16,7,104.525,1693.236,A4,3,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,17,7,105.282,1798.518,A4,4,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,18,6,104.985,1903.503,A4,5,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,19,6,103.557,2007.06,A4,6,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,20,6,103.527,2110.587,A4,7,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,21,6,103.258,2213.845,A4,8,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,22,6,103.242,2317.087,A4,9,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,23,6,103.211,2420.298,A4,10,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,24,6,103.769,2524.067,A4,11,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,25,6,103.251,2627.318,A4,12,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,26,6,102.864,2730.182,A4,13,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,27,6,103.279,2833.461,A4,14,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,28,6,102.721,2936.182,A4,15,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,29,6,103.223,3039.405,A4,16,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,30,5,102.67,3142.075,A4,17,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,31,5,102.788,3244.863,A4,18,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,32,5,103.197,3348.06,A4,19,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,33,5,102.783,3450.843,A4,20,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,34,5,103.257,3554.1,A4,21,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,35,5,103.113,3657.213,A4,22,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,36,5,102.679,3759.892,A4,23,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,37,5,102.779,3862.671,A4,24,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,38,4,102.883,3965.554,A4,25,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,39,5,104.564,4070.118,A4,26,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,40,5,103.344,4173.462,A4,27,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,41,5,103.071,4276.533,A4,28,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,42,5,102.845,4379.378,A4,29,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,43,5,102.272,4481.65,A4,30,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,44,5,102.76,4584.41,A4,31,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,45,5,102.629,4687.039,A4,32,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,46,5,102.343,4789.382,A4,33,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,47,5,102.454,4891.836,A4,34,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,48,5,102.357,4994.193,A4,35,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,49,5,102.219,5096.412,A4,36,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,50,5,102.496,5198.908,A4,37,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,51,5,102.376,5301.284,A4,38,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,52,5,102.462,5403.746,A4,39,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,53,6,104.788,5508.534,A4,40,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,54,6,103.028,5611.562,A4,41,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,43,ALB,Alexander Albon,55,6,103.358,5714.92,A4,42,False,,,5,6,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,1,15,115.218,115.218,A6,1,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,2,14,107.442,222.66,A6,2,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,3,14,106.669,329.329,A6,3,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,4,14,106.766,436.095,A6,4,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,5,13,104.794,540.889,A6,5,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,6,12,105.256,646.145,A6,6,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,7,11,104.608,750.753,A6,7,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,8,11,104.237,854.99,A6,8,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,9,10,104.742,959.732,A6,9,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,10,10,105.173,1064.905,A6,10,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,11,10,105.062,1169.967,A6,11,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,12,8,104.139,1274.106,A6,12,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,13,6,103.95,1378.056,A6,13,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,14,5,104.362,1482.418,A6,14,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,15,5,104.608,1587.026,A6,15,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,16,5,104.406,1691.432,A6,16,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,17,5,105.423,1796.855,A6,17,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,18,4,103.384,1900.239,A6,18,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,19,4,103.312,2003.551,A6,19,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,20,4,102.747,2106.298,A6,20,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,21,4,102.608,2208.906,A6,21,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,22,4,102.809,2311.715,A6,22,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,23,4,102.59,2414.305,A6,23,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,24,4,102.753,2517.058,A6,24,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,25,4,102.518,2619.576,A6,25,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,26,4,102.904,2722.48,A6,26,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,27,4,102.828,2825.308,A6,27,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,28,4,102.912,2928.22,A6,28,False,,,20,4,121
2019,2019-12-01,YasMarina,55,5554.0,15,BOT,Valtteri Bottas,29,4,104.574,3032.794,A6,29,True,21.145,A4,20,4,121
