Feature Set,Target,F1,Hit-Rate,Num Features
Grid only,Top-3,0.6736842105263158,0.6666666666666666,2
Grid only,Top-5,0.7773584905660378,0.7916666666666666,2
Grid only,Top-10,0.7841584158415842,0.8125,2
+ Driver history,Top-3,0.6486486486486487,0.6666666666666666,6
+ Driver history,Top-5,0.7887323943661971,0.775,6
+ Driver history,Top-10,0.8110403397027601,0.8208333333333334,6
+ Team history,Top-3,0.6779661016949152,0.6666666666666666,10
+ Team history,Top-5,0.8014440433212996,0.7999999999999999,10
+ Team history,Top-10,0.8158995815899581,0.8166666666666668,10
+ Context (all features),Top-3,0.6629213483146067,0.5694444444444443,15
+ Context (all features),Top-5,0.7681660899653979,0.7833333333333333,15
+ Context (all features),Top-10,0.8252631578947368,0.8458333333333333,15
