Feature Set,Target,F1,Hit-Rate,Num Features
All features,Top-3,0.6629213483146067,0.5694444444444443,15
All features,Top-5,0.7681660899653979,0.7833333333333333,15
All features,Top-10,0.8252631578947368,0.8458333333333333,15
− Grid position,Top-3,0.47398843930635837,0.40277777777777773,13
− Grid position,Top-5,0.7337662337662337,0.6083333333333333,13
− Grid position,Top-10,0.7806841046277666,0.7958333333333334,13
− Driver history,Top-3,0.6413043478260869,0.6249999999999999,11
− Driver history,Top-5,0.7762237762237763,0.75,11
− Driver history,Top-10,0.8281573498964804,0.8291666666666666,11
− Team history,Top-3,0.6629834254143646,0.6249999999999999,11
− Team history,Top-5,0.7516778523489933,0.7666666666666667,11
− Team history,Top-10,0.8360655737704918,0.8333333333333334,11
− Context,Top-3,0.6779661016949152,0.6666666666666666,10
− Context,Top-5,0.8014440433212996,0.7999999999999999,10
− Context,Top-10,0.8158995815899581,0.8166666666666668,10
