Model,Train,Test Year,Target,F1,Hit-Rate
Logistic Regression,2018-2020,2021,Top-3,0.5781990521327014,0.681159420289855
Logistic Regression,2018-2020,2021,Top-5,0.6872852233676976,0.6695652173913045
Logistic Regression,2018-2020,2021,Top-10,0.7702702702702703,0.782608695652174
Random Forest,2018-2020,2021,Top-3,0.6666666666666666,0.681159420289855
Random Forest,2018-2020,2021,Top-5,0.7014925373134329,0.6434782608695653
Random Forest,2018-2020,2021,Top-10,0.7876288659793814,0.773913043478261
Gradient Boosting,2018-2020,2021,Top-3,0.6323529411764706,0.6666666666666666
Gradient Boosting,2018-2020,2021,Top-5,0.5741626794258373,0.5739130434782609
Gradient Boosting,2018-2020,2021,Top-10,0.7120879120879121,0.726086956521739
Logistic Regression,2018-2021,2022,Top-3,0.6697674418604651,0.6666666666666666
Logistic Regression,2018-2021,2022,Top-5,0.7769784172661871,0.7583333333333333
Logistic Regression,2018-2021,2022,Top-10,0.7714884696016772,0.7583333333333333
Random Forest,2018-2021,2022,Top-3,0.7142857142857143,0.6527777777777777
Random Forest,2018-2021,2022,Top-5,0.7669172932330827,0.7333333333333334
Random Forest,2018-2021,2022,Top-10,0.7679671457905544,0.7541666666666668
Gradient Boosting,2018-2021,2022,Top-3,0.5882352941176471,0.611111111111111
Gradient Boosting,2018-2021,2022,Top-5,0.6812227074235808,0.6750000000000002
Gradient Boosting,2018-2021,2022,Top-10,0.7319148936170212,0.7458333333333335
Logistic Regression,2018-2022,2023,Top-3,0.5833333333333334,0.6
Logistic Regression,2018-2022,2023,Top-5,0.7368421052631579,0.6900000000000001
Logistic Regression,2018-2022,2023,Top-10,0.7830423940149626,0.7849999999999999
Random Forest,2018-2022,2023,Top-3,0.6056338028169014,0.6333333333333333
Random Forest,2018-2022,2023,Top-5,0.7168141592920354,0.6900000000000001
Random Forest,2018-2022,2023,Top-10,0.7815533980582524,0.78
Gradient Boosting,2018-2022,2023,Top-3,0.5932203389830508,0.6333333333333332
Gradient Boosting,2018-2022,2023,Top-5,0.7,0.6900000000000002
Gradient Boosting,2018-2022,2023,Top-10,0.7464788732394366,0.735
Logistic Regression,2018-2023,2024,Top-3,0.6071428571428571,0.5555555555555555
Logistic Regression,2018-2023,2024,Top-5,0.7508305647840532,0.7999999999999999
Logistic Regression,2018-2023,2024,Top-10,0.8215767634854771,0.8208333333333333
Random Forest,2018-2023,2024,Top-3,0.6704545454545454,0.611111111111111
Random Forest,2018-2023,2024,Top-5,0.7724137931034483,0.7833333333333333
Random Forest,2018-2023,2024,Top-10,0.8329809725158562,0.8375
Gradient Boosting,2018-2023,2024,Top-3,0.48854961832061067,0.5277777777777777
Gradient Boosting,2018-2023,2024,Top-5,0.6334841628959276,0.6416666666666667
Gradient Boosting,2018-2023,2024,Top-10,0.7045454545454546,0.7375000000000002
