race_id,season,location,driver_id,driver_code,team,resultposition,gridposition,avg_lap,median_lap,std_lap,best_lap,pit_count,avg_pit_loss,tyre_mix,avg_stint_length,nolaps,tracklength
1,2014,Melbourne,1,HAM,Mercedes,19,1,103.20750000000001,103.20750000000001,4.13021070891062,100.287,0,0.0,1,3.0,57,5303.0
1,2014,Melbourne,2,RIC,RedBull,22,2,98.30236842105265,94.968,11.52336415510366,93.066,2,22.7105,2,19.333333333333332,57,5303.0
1,2014,Melbourne,3,ROS,Mercedes,1,3,97.87210526315789,94.04,12.238517778607555,92.478,2,24.002000000000002,2,19.333333333333332,57,5303.0
1,2014,Melbourne,4,MAG,McLaren,2,4,98.34187719298245,94.995,11.0841658557057,92.917,2,22.7115,2,19.333333333333332,57,5303.0
1,2014,Melbourne,5,ALO,Ferrari,4,5,98.49112280701753,95.374,10.747006639841254,92.616,2,22.4325,2,19.333333333333332,57,5303.0
1,2014,Melbourne,6,VER,ToroRosso,8,6,98.93247368421052,95.525,10.647883626244473,93.864,2,23.051000000000002,2,19.333333333333332,57,5303.0
1,2014,Melbourne,7,HUL,ForceIndia,6,7,98.76189473684211,95.457,10.71407417786165,93.21,2,22.774,2,19.333333333333332,57,5303.0
1,2014,Melbourne,8,KVY,ToroRosso,9,8,98.98763157894737,95.66,10.907095925247761,92.634,2,27.217,2,19.333333333333332,57,5303.0
1,2014,Melbourne,9,MAS,Williams,20,9,,,,,0,0.0,1,1.0,57,5303.0
1,2014,Melbourne,10,BUT,McLaren,3,10,98.3988947368421,95.341,9.85721732083403,93.186,2,22.405,2,19.333333333333332,57,5303.0
1,2014,Melbourne,11,RAI,Ferrari,7,11,98.88394736842105,95.338,10.72676839969764,93.691,2,23.683999999999997,2,19.333333333333332,57,5303.0
1,2014,Melbourne,12,VET,RedBull,18,12,114.128,111.46,5.979455911703006,109.947,0,0.0,1,4.0,57,5303.0
1,2014,Melbourne,13,SUT,Sauber,11,13,99.7652142857143,96.9805,8.735437878839555,94.564,1,24.305,2,28.5,57,5303.0
1,2014,Melbourne,14,KOB,Caterham,21,14,,,,,0,0.0,1,1.0,57,5303.0
1,2014,Melbourne,15,BOT,Williams,5,15,98.70787719298247,95.211,10.7931916884643,92.568,2,29.019,2,19.333333333333332,57,5303.0
1,2014,Melbourne,16,PER,ForceIndia,10,16,99.37940350877192,96.156,10.824772714307494,93.366,3,23.52133333333333,2,19.333333333333332,57,5303.0
1,2014,Melbourne,17,CHI,Marussia,13,17,101.83761818181819,98.872,8.154848070639872,95.635,2,23.851,2,18.666666666666668,57,5303.0
1,2014,Melbourne,18,BIA,Marussia,14,18,115.76002040816327,97.728,106.0609525774939,95.281,2,23.238500000000002,2,16.666666666666668,57,5303.0
1,2014,Melbourne,19,ERI,Caterham,17,19,105.01429629629628,100.204,10.375684836766622,97.064,1,23.238,1,14.0,57,5303.0
1,2014,Melbourne,20,GUT,Sauber,12,20,99.87421428571429,96.2995,10.910073823122096,94.202,2,28.226999999999997,2,28.5,57,5303.0
1,2014,Melbourne,21,MAL,LotusF1,16,21,104.03341379310345,99.261,10.468672099982205,97.332,1,22.847,1,30.0,57,5303.0
1,2014,Melbourne,22,GRO,LotusF1,15,22,101.02709302325582,97.54,9.969285590332781,94.766,2,19.7595,1,22.0,57,5303.0
2,2014,KualaLumpur,1,HAM,Mercedes,1,1,107.60667857142857,106.5505,4.669056977425052,103.066,3,24.794666666666668,2,14.25,56,5543.0
2,2014,KualaLumpur,2,RIC,RedBull,16,5,112.70502040816326,107.507,16.44446542722125,104.675,5,45.598,2,8.333333333333334,56,5543.0
2,2014,KualaLumpur,3,ROS,Mercedes,2,3,107.91583928571428,106.799,4.682473378177143,103.96,3,24.888,2,14.25,56,5543.0
2,2014,KualaLumpur,4,MAG,McLaren,9,8,109.60663636363635,107.922,6.040001049679932,105.373,3,30.730666666666668,2,14.0,56,5543.0
2,2014,KualaLumpur,5,ALO,Ferrari,4,4,108.24939285714285,107.164,4.598403053545562,104.165,3,24.443,2,14.25,56,5543.0
